time,voltage,rpm,direction
4.29,0.5,0,up
4.3,0.5,0,up
4.31,0.5,0,up
4.32,0.5,0,up
4.33,0.5,0,up
4.34,0.5,0,up
4.35,0.5,0,up
4.36,0.5,0,up
4.37,0.5,0,up
4.38,0.5,0,up
4.39,0.5,0,up
4.4,0.5,0,up
4.41,0.5,0,up
4.42,0.5,0,up
4.43,0.5,0,up
4.44,0.5,0,up
4.45,0.5,0,up
4.46,0.5,0,up
4.47,0.5,0,up
4.48,0.5,0,up
4.49,0.5,0,up
4.5,0.5,0,up
4.51,0.5,0,up
4.52,0.5,0,up
4.53,0.5,0,up
4.54,0.5,0,up
4.55,0.5,0,up
4.56,0.5,0,up
4.57,0.5,0,up
4.58,0.5,0,up
4.59,0.5,0,up
4.6,0.5,0,up
4.61,0.5,0,up
4.62,0.5,0,up
4.63,0.5,0,up
4.64,0.5,0,up
4.65,0.5,0,up
4.66,0.5,0,up
4.67,0.5,0,up
4.68,0.5,0,up
4.69,0.5,0,up
4.7,0.5,0,up
4.71,0.5,0,up
4.72,0.5,0,up
4.73,0.5,0,up
4.74,0.5,0,up
4.75,0.5,0,up
4.76,0.5,0,up
4.77,0.5,0,up
4.78,0.5,0,up
4.79,0.5,0,up
4.8,0.5,0,up
4.81,0.5,0,up
4.82,0.5,0,up
4.83,0.5,0,up
4.84,0.5,0,up
4.85,0.5,0,up
4.86,0.5,0,up
4.87,0.5,0,up
4.88,0.5,0,up
4.89,0.5,0,up
4.9,0.5,0,up
4.91,0.5,0,up
4.92,0.5,0,up
4.93,0.5,0,up
4.94,0.5,0,up
4.95,0.5,0,up
4.96,0.5,0,up
4.97,0.5,0,up
4.98,0.5,0,up
4.99,0.5,0,up
5,0.5,0,up
5.01,0.5,0,up
5.02,0.5,0,up
5.03,0.5,0,up
5.04,0.5,0,up
5.05,0.5,0,up
5.06,0.5,0,up
5.07,0.5,0,up
5.08,0.5,0,up
5.09,0.5,0,up
5.1,0.5,0,up
5.11,0.5,0,up
5.12,0.5,0,up
5.13,0.5,0,up
5.14,0.5,0,up
5.15,0.5,0,up
5.16,0.5,0,up
5.17,0.5,0,up
5.18,0.5,0,up
5.19,0.5,0,up
5.2,0.5,0,up
5.21,0.5,0,up
5.22,0.5,0,up
5.23,0.5,0,up
5.24,0.5,0,up
5.25,0.5,0,up
5.26,0.5,0,up
5.27,0.5,0,up
5.28,0.5,0,up
5.29,0.5,0,up
5.3,0.5,0,up
5.31,0.5,0,up
5.32,0.5,0,up
5.33,0.5,0,up
5.34,0.5,0,up
5.35,0.5,0,up
5.36,0.5,0,up
5.37,0.5,0,up
5.38,0.5,0,up
5.39,0.5,0,up
5.4,0.5,0,up
5.41,0.5,0,up
5.42,0.5,0,up
5.43,0.5,0,up
5.44,0.5,0,up
5.45,0.5,0,up
5.46,0.5,0,up
5.47,0.5,0,up
5.48,0.5,0,up
5.49,0.5,0,up
5.5,0.5,0,up
5.51,0.5,0,up
5.52,0.5,0,up
5.53,0.5,0,up
5.54,0.5,0,up
5.55,0.5,0,up
5.56,0.5,0,up
5.57,0.5,0,up
5.58,0.5,0,up
5.59,0.5,0,up
5.6,0.5,0,up
5.61,0.5,0,up
5.62,0.5,0,up
5.63,0.5,0,up
5.64,0.5,0,up
5.65,0.5,0,up
5.66,0.5,0,up
5.67,0.5,0,up
5.68,0.5,0,up
5.69,0.5,0,up
5.7,0.5,0,up
5.71,0.5,0,up
5.72,0.5,0,up
5.73,0.5,0,up
5.74,0.5,0,up
5.75,0.5,0,up
5.76,0.5,0,up
5.77,0.5,0,up
5.78,0.5,0,up
5.79,0.5,0,up
5.8,0.5,0,up
5.81,0.5,0,up
5.82,0.5,0,up
5.83,0.5,0,up
5.84,0.5,0,up
5.85,0.5,0,up
5.86,0.5,0,up
5.87,0.5,0,up
5.88,0.5,0,up
5.89,0.5,0,up
5.9,0.5,0,up
5.91,0.5,0,up
5.92,0.5,0,up
5.93,0.5,0,up
5.94,0.5,0,up
5.95,0.5,0,up
5.96,0.5,0,up
5.97,0.5,0,up
5.98,0.5,0,up
